lat,lon,district
55.81157471,49.2607765,Советский р-н
55.8397747,49.19753401,Советский р-н
55.81749421,49.0816947,Кировский р-н
55.79689647,49.04820488,Кировский р-н
55.74917304,49.13669944,Приволжский р-н
55.8168374,49.03951902,Кировский р-н
55.82593947,49.07980288,Московский р-н
55.85213941,49.08354434,Авиастроительный р-н
55.73573486,49.26028275,Приволжский р-н
55.71752257,49.1222817,Приволжский р-н
55.80488066,49.19571098,Советский р-н
55.76336433,49.17647805,Советский р-н
55.73045935,49.14410066,Приволжский р-н
55.72099897,49.10158148,Приволжский р-н
55.72337049,49.11921287,Приволжский р-н
55.85031329,49.11770841,Авиастроительный р-н
55.83990507,49.07430048,Московский р-н
55.7949809,49.22415974,Советский р-н
55.7319885,49.10040896,Приволжский р-н
55.83168526,49.15672808,Ново-Савиновский р-н
55.84393354,49.02882183,Московский р-н
55.83642635,49.09270001,Ново-Савиновский р-н
55.78261444,49.27413416,Советский р-н
55.85951265,49.10243389,Авиастроительный р-н
55.75249169,49.16553664,Приволжский р-н
55.75910839,49.122065,Приволжский р-н
55.85477595,49.19731447,Советский р-н
55.70816925,49.094143,Приволжский р-н
55.78611368,49.16467385,Советский р-н
55.83983896,49.18852387,Советский р-н
55.6981604,49.06306173,Приволжский р-н
55.81349499,49.19467734,Советский р-н
55.82618842,49.02424362,Кировский р-н
55.72471686,49.10029872,Приволжский р-н
55.82784141,49.12086485,Ново-Савиновский р-н
55.75777054,49.22343843,Приволжский р-н
55.81151284,49.28475268,Советский р-н
55.7200511,49.09465305,Приволжский р-н
55.79447922,49.22750623,Советский р-н
55.71615136,49.10048164,Приволжский р-н
55.82573485,49.03224552,Кировский р-н
55.84470414,49.19166206,Советский р-н
55.85546151,49.07024613,Авиастроительный р-н
55.80814208,49.24865183,Советский р-н
55.79961946,49.06209309,Кировский р-н
55.76859478,49.24114048,Советский р-н
55.73309368,49.15259516,Приволжский р-н
55.82342274,49.22004641,Советский р-н
55.78232039,49.13197427,Вахитовский р-н
55.81394271,49.25087419,Советский р-н
55.79291033,49.16980445,Советский р-н
55.8030838,49.01308218,Кировский р-н
55.70138354,49.13164673,Приволжский р-н
55.69523428,49.14951677,Приволжский р-н
55.79963822,49.12262579,Вахитовский р-н
55.75413916,49.15491854,Приволжский р-н
55.84793322,49.13609003,Ново-Савиновский р-н
55.82761831,49.14642904,Ново-Савиновский р-н
55.81573433,49.14120637,Ново-Савиновский р-н
55.77392978,49.14481835,Приволжский р-н
55.73991281,49.17426248,Приволжский р-н
55.80311414,49.03746894,Кировский р-н
55.77023152,49.26931083,Советский р-н
55.78052497,49.10521653,Вахитовский р-н
55.85056175,49.17192142,Советский р-н
55.78560373,49.11257638,Вахитовский р-н
55.83172378,49.13710524,Ново-Савиновский р-н
55.77465588,49.19847454,Советский р-н
55.75546532,49.18790708,Приволжский р-н
55.82107757,49.13313269,Ново-Савиновский р-н
55.77355395,49.15084519,Вахитовский р-н
55.74617223,49.25006453,Приволжский р-н
55.84739923,49.05944653,Авиастроительный р-н
55.75238798,49.22274185,Приволжский р-н
55.80033321,49.03028703,Кировский р-н
55.77005485,49.12047449,Вахитовский р-н
55.79964623,49.00092863,Кировский р-н
55.82458005,49.0289314,Кировский р-н
55.83430298,49.22739271,Советский р-н
55.81378697,49.22719197,Советский р-н
55.68995762,49.14355671,Приволжский р-н
55.76069597,49.19663446,Советский р-н
55.81263268,49.20028,Советский р-н
55.81835122,49.04527951,Кировский р-н
55.84322635,49.14877265,Ново-Савиновский р-н
55.8461191,49.15081774,Ново-Савиновский р-н
55.80054016,49.17428224,Советский р-н
